route,bird,flight,date,start_time,rel_lat,rel_lon,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m,temperature_2m,precipitation,shortwave_radiation,surface_pressure
R1,A_A35,01,2011-05-05,12:25:22,51.85829,-1.4063,100,18,50,100,19.5,176,45.0,17.1,0.1,639.0,1004.1
R1,A_A35,02,2011-05-06,14:51:10,51.85825,-1.40637,98,0,17,97,13.6,163,33.8,19.9,0.0,626.0,1000.4
R1,A_A35,03,2011-05-09,16:38:06,51.85827,-1.40633,37,15,24,10,23.1,195,56.9,16.0,0.2,534.0,1006.7
R1,A_A35,04,2011-05-10,09:02:23,51.85826,-1.40635,76,75,1,0,20.9,209,37.8,12.6,0.0,285.0,1010.6
R1,A_A35,05,2011-05-12,12:29:56,51.85839,-1.40646,44,35,22,0,19.1,266,47.9,14.3,0.0,705.0,1006.1
R1,A_A35,06,2011-05-15,12:57:05,51.85825,-1.40635,100,100,90,0,21.4,297,43.6,12.1,0.0,500.0,1012.4
R1,A_A38,01,2011-05-05,13:09:53,51.85829,-1.40624,100,20,52,98,22.0,183,46.1,17.3,0.0,484.0,1003.9
R1,A_A38,02,2011-05-06,16:38:29,51.85826,-1.40634,72,0,60,26,17.1,162,35.6,20.9,0.0,610.0,999.7
R1,A_A38,03,2011-05-09,15:39:42,51.8583,-1.4063,37,19,17,14,24.9,191,57.2,16.0,0.5,639.0,1006.8
R1,A_A38,04,2011-05-10,11:18:54,51.85826,-1.4063,48,14,45,0,17.6,211,40.3,14.9,0.0,548.0,1011.1
R1,A_A38,05,2011-05-12,13:09:33,51.85828,-1.40635,26,9,18,0,20.2,270,47.5,14.9,0.0,754.0,1006.1
R1,A_A38,06,2011-05-15,12:15:53,51.85818,-1.40635,100,100,90,0,21.4,297,43.6,12.1,0.0,500.0,1012.4
R1,A_A45,01,2011-05-05,13:19:35,51.85828,-1.40632,100,20,52,98,22.0,183,46.1,17.3,0.0,484.0,1003.9
R1,A_A45,02,2011-05-06,16:04:53,51.85822,-1.40636,72,0,60,26,17.1,162,35.6,20.9,0.0,610.0,999.7
R1,A_A45,03,2011-05-09,16:19:01,51.85827,-1.4064,37,15,24,10,23.1,195,56.9,16.0,0.2,534.0,1006.7
R1,A_A45,04,2011-05-10,10:00:54,51.85827,-1.40631,78,77,0,0,21.1,210,39.6,13.9,0.0,423.0,1010.9
R1,A_A45,05,2011-05-12,12:44:47,51.85827,-1.40633,44,35,22,0,19.1,266,47.9,14.3,0.0,705.0,1006.1
R1,A_A45,06,2011-05-15,11:32:05,51.85827,-1.40632,90,84,81,0,21.7,302,42.1,11.7,0.0,518.0,1012.6
R1,A_D06,01,2011-05-05,13:46:05,51.85825,-1.4063,100,20,52,98,22.0,183,46.1,17.3,0.0,484.0,1003.9
